id,label,id,modularity,color,id
1,bigdata,1,3,Dark red,1
2,classification,2,5,Dark Yellow,2
3,correlation,3,6,Purple,3
4,data.cleaning,4,6,Purple,4
5,data.mining,5,5,Dark Yellow,5
6,data.frame,6,5,Dark Yellow,6
7,dataframes,7,5,Dark Yellow,7
8,dataset,8,2,Dark Blue,8
9,forecasting,9,6,Purple,9
10,function.,10,6,Purple,10
11,ggplot2,11,6,Purple,11
12,hadoop,12,3,Dark red,12
13,linear.regression,13,6,Purple,13
14,logistic.regression,14,6,Purple,14
15,loops,15,6,Purple,15
16,machine.learning,16,5,Dark Yellow,16
17,matrix,17,5,Dark Yellow,17
18,neural.network,18,5,Dark Yellow,18
19,nlp,19,5,Dark Yellow,19
20,plot,20,6,Purple,20
21,random.forest,21,6,Purple,21
22,regex,22,5,Dark Yellow,22
23,regression,23,6,Purple,23
24,rstudio,24,5,Dark Yellow,24
25,sentiment.analysis,25,5,Dark Yellow,25
26,sql,26,3,Dark red,26
27,statistics,27,5,Dark Yellow,27
28,svm,28,5,Dark Yellow,28
29,text.mining,29,6,Purple,29
30,time.series,30,6,Purple,30
31,tm,31,6,Purple,31
32,visualization,32,1,Green,32
33,python,33,6,Purple,33
34,r,34,5,Dark Yellow,34
