Id,Modularity Class
aggregationframework,4
algorithm,5
amazonec2,3
amazonemr,3
amazons3,3
amazonwebservices,3
ambari,3
analytics,6
angularjs,4
apache,3
apachekafka,3
apachepig,3
apachespark,3
api,3
arrays,4
artificialintelligence,5
aspnet,2
asynchronous,4
authentication,4
avro,3
azure,3
backpropagation,5
bash,3
bigdata,3
bson,4
c,2
caching,0
caffe,5
cassandra,0
classification,5
cloudera,3
cloudera1,3
clusteranalysis,5
clustercomputing,3
collections,4
computervision,5
configuration,3
correlation,6
couchdb,3
cql,0
crossvalidation,5
csv,3
d3js,1
data,6
database,4
databasedesign,4
datacleaning,6
dataframes,5
datagridview,2
datamining,5
datamodeling,0
dataset,2
datasta,0
datastaxenterprise,0
datastaxjavadriver,0
datatable,2
datavisualization,1
datetime,6
decisiontree,5
deeplearning,5
dictionary,5
distributedcomputing,3
distribution,6
django,4
docker,3
doctrine2,4
doctrineodm,4
eclipse,3
elasticmapreduce,3
elasticsearch,1
emr,3
encog,5
excel,2
exception,3
express,4
featureExtractionSelection,5
file,3
filter,3
find,4
flask,5
flume,3
forecasting,6
forloop,6
fulltextsearch,4
function,6
geoSpatial,4
ggplot2,6
giraph,3
go,3
googlecomputeengine,3
grails,4
graph,1
gridfs,4
hadoop,3
hbase,3
hcatalog,3
hdfs,3
hdinsight,3
heroku,4
hive,3
hortonworks,3
html,1
hue,3
imageprocessing,5
impala,3
indexing,4
insert,3
installation,3
jar,3
java,3
javascript,4
jdbc,3
join,3
jquery,4
json,4
kerberos,3
kmeans,5
knn,5
laravel,4
libsvm,5
linearregression,6
linq,2
linu,3
logging,3
logisticregression,6
loops,6
lucene,5
machinelearning,5
mahout,3
mapr,3
mapreduce,3
math,6
matlab,5
matplotlib,5
matri,6
maven,3
mean,4
meanjs,4
meanstack,4
memory,3
meteor,4
mgo,3
mllib,3
model,6
mongodb,4
mongodbcsharp,2
mongodbcsharp20,2
mongodbjava,4
mongojava,4
mongoose,4
mongoosepopulate,4
monk,4
morphia,3
multithreading,3
mysql,3
naivebayes,5
net,2
neuralnetwork,5
nlp,5
nltk,5
nodejs,4
nosql,0
numpy,5
nutch,3
object,4
objectid,4
oozie,3
ooziecoordinator,3
opencv,5
opennlp,5
openshift,4
opscenter,0
optimization,5
oracle,3
os,3
pandas,5
parallelprocessing,3
parquet,3
parsing,5
passportjs,4
patternrecognition,5
pca,5
pentaho,5
performance,3
phoeni,3
php,4
playframework,3
plot,6
postgresql,6
prediction,6
probability,6
pybrain,5
pymongo,4
pyspark,3
python,5
r,6
randomforest,6
rcaret,6
rdd,3
reactivemongo,3
recommendationengine,5
redis,0
reduce,3
rege,5
regression,6
replicaset,4
replication,3
rest,3
robomongo,4
ruby,4
rubyonrails,4
rubyonrails4,4
sailsjs,4
sailsmongo,4
sas,6
scala,3
schema,0
scikitlearn,5
scipy,5
search,4
security,3
sentimentanalysis,5
serialization,2
session,4
sharding,4
shell,3
socketio,4
solr,0
sorting,4
sparkstreaming,3
spring,3
springboot,3
springdata,3
springdatamongodb,3
springmvc,3
sql,3
sqlserver,2
sqoop,3
ssh,3
ssl,0
stanfordnlp,5
stata,6
statistics,6
statsmodels,5
storm,3
string,5
subdocument,4
supervisedlearning,5
svm,5
symfony2,4
table,3
text,6
textclassification,5
textmining,6
theano,5
thrift,3
time,6
timeseries,6
timestamp,0
titan,0
tm,6
trainingdata,5
tree,5
twitter,5
ubuntu,3
ubuntu1404,3
udf,3
unittesting,0
uni,3
validation,5
vbnet,2
visualization,1
waterline,4
weka,5
windows,3
wordnet,5
xml,2
yarn,3
zookeeper,3
